Date,Store Zip Code,Product,Units,Amount of Sale,Revenue Discount,COGS,Payment Type
11/10/2016,85001,Fun Fly,1,4.95,0,3.96,5
12/4/2016,85327,Fun Fly,4,19.8,0.1,14.8,3
10/13/2016,85001,Yanaki,1,28.75,0,14.78,4
11/15/2016,85001,Fun Fly,1,4.95,0,4.11,7
10/22/2016,85224,Fun Fly,1,4.95,0,3.67,3
12/10/2016,85001,Fun Fly,2,9.9,0,6.44,6
11/10/2016,85001,Yanaki,1,28.75,0,15.59,7
12/19/2016,85327,Bellen,1,24.95,0,14.4,7
11/17/2016,85001,Majestic Beaut,1,32.95,0,19.65,2
10/6/2016,85001,Aspen,1,27.95,0,12.09,4
10/24/2016,85001,Fun Fly,2,9.9,0,5.44,3
10/7/2016,85001,Fun Fly,1,4.95,0,3.07,3
11/5/2016,85001,Yanaki,1,28.75,0,14.76,7
10/29/2016,85001,Quad,6,263.76,0.1,135.84,6
12/15/2016,85001,Fun Fly,6,29.7,0.1,21.6,7
11/14/2016,85224,Majestic Beaut,1,32.95,0,20.43,2
12/11/2016,85224,Fun Fly,1,4.95,0,4.12,1
11/16/2016,85327,Fun Fly,1,4.95,0,4.17,4
11/6/2016,85001,Quad,1,43.96,0,22.09,2
10/27/2016,85327,Carlota,6,167.7,0.1,78.66,7
12/7/2016,85224,Fun Fly,1,4.95,0,3.91,1
12/6/2016,85001,Fun Fly,1,4.95,0,3.6,1
10/5/2016,85001,Fun Fly,1,4.95,0,3.66,3
11/16/2016,85001,Majestic Beaut,1,32.95,0,19.86,7
11/3/2016,85327,Yanaki,1,28.75,0,15.6,2
10/28/2016,85224,Yanaki,1,28.75,0,15.93,7
10/25/2016,85327,Carlota,1,27.95,0,13.47,8
12/20/2016,85001,Fun Fly,1,4.95,0,2.82,4
11/5/2016,85224,Yanaki,1,28.75,0,14.77,7
11/27/2016,85001,Bellen,1,24.95,0,12.68,3
12/9/2016,85001,Quad,1,43.96,0,21.32,3
11/6/2016,85327,Majestic Beaut,1,32.95,0,19.28,8
10/2/2016,85224,Carlota,1,27.95,0,12.38,1
12/19/2016,85001,Bellen,1,24.95,0,14.34,1
10/6/2016,85327,Majestic Beaut,3,98.85,0,60.3,7
10/10/2016,85224,Carlota,1,27.95,0,12.6,7
10/3/2016,85224,Bellen,1,24.95,0,13.25,1
12/2/2016,85224,Bellen,6,149.7,0.1,76.2,3
