Date,Store Zip Code,Product,Units,Amount of Sale,Revenue Discount,COGS,Payment ID
12/2/2016,89419,Fun Fly,1,4.95,0,2.51,1
11/5/2016,89115,Yanaki,1,28.75,0,13.94,2
10/31/2016,89419,Bellen,6,149.7,0.1,75.54,3
12/12/2016,89030,Yanaki,1,28.75,0,15.81,4
11/8/2016,89419,Quad,1,43.96,0,21.82,3
10/24/2016,89115,Quad,1,43.96,0,20.76,4
10/8/2016,89030,Fun Fly,1,4.95,0,3.04,5
12/9/2016,89030,Quad,1,43.96,0,20.67,1
11/11/2016,89419,Aspen,1,27.95,0,10.65,1
10/20/2016,89030,Fun Fly,1,4.95,0,2.55,5
10/24/2016,89419,Carlota,1,27.95,0,11.37,6
12/6/2016,89115,Bellen,1,24.95,0,14.39,4
10/9/2016,89419,Bellen,1,24.95,0,13.21,7
10/28/2016,89115,Yanaki,1,28.75,0,14.5,6
11/2/2016,89030,Majestic Beaut,1,32.95,0,19.17,6
10/18/2016,89115,Yanaki,1,28.75,0,13.64,6
10/4/2016,89030,Quad,1,43.96,0,22.14,5
10/31/2016,89030,Aspen,12,335.4,0.1875,125.16,2
11/22/2016,89030,Fun Fly,1,4.95,0,3.06,5
12/20/2016,89030,Quad,1,43.96,0,20.88,7
11/15/2016,89419,Quad,12,527.52,0.1875,247.8,7
10/17/2016,89115,Yanaki,1,28.75,0,15.34,7
11/21/2016,89030,Carlota,6,167.7,0.1,67.26,1
12/2/2016,89115,Fun Fly,1,4.95,0,1.69,6
12/20/2016,89030,Bellen,1,24.95,0,12.29,2
12/3/2016,89030,Yanaki,12,345,0.1875,176.52,3
10/1/2016,89030,Bellen,1,24.95,0,14.25,2
10/13/2016,89419,Bellen,2,49.9,0,25.16,7
11/21/2016,89115,Quad,1,43.96,0,22.64,4
11/26/2016,89115,Fun Fly,6,29.7,0.1,23.28,1
12/18/2016,89115,Aspen,1,27.95,0,11.25,3
10/7/2016,89030,Aspen,12,335.4,0.1875,129.12,4
12/19/2016,89115,Bellen,1,24.95,0,13.14,3
10/10/2016,89419,Fun Fly,1,4.95,0,2.75,7
10/26/2016,89030,Aspen,2,55.9,0,25.42,4
10/21/2016,89115,Yanaki,1,28.75,0,13.83,4
11/1/2016,89030,Fun Fly,12,59.4,0.1875,23.64,7
11/13/2016,89115,Fun Fly,1,4.95,0,2.85,3
10/7/2016,89030,Fun Fly,12,59.4,0.1875,24,3
11/19/2016,89030,Bellen,1,24.95,0,12.34,4
12/20/2016,89030,Quad,1,43.96,0,20.46,7
10/26/2016,89030,Carlota,1,27.95,0,11.1,1
11/2/2016,89115,Carlota,1,27.95,0,11.07,6
10/31/2016,89419,Aspen,6,167.7,0.1,73.02,4
10/19/2016,89419,Majestic Beaut,1,32.95,0,18.87,1
10/24/2016,89115,Quad,1,43.96,0,21.5,5
12/11/2016,89030,Bellen,1,24.95,0,13.14,7
12/20/2016,89030,Fun Fly,12,59.4,0.1875,28.56,4
11/26/2016,89115,Carlota,1,27.95,0,10.87,4
10/28/2016,89115,Aspen,1,27.95,0,12.77,1
11/29/2016,89419,Aspen,1,27.95,0,10.66,4
10/22/2016,89419,Quad,12,527.52,0.1875,258.6,4
11/30/2016,89115,Fun Fly,1,4.95,0,2.04,4
11/10/2016,89030,Fun Fly,12,59.4,0.1875,33.6,6
12/1/2016,89115,Quad,6,263.76,0.1,129.12,6
10/6/2016,89419,Fun Fly,1,4.95,0,2.02,6
10/15/2016,89030,Fun Fly,1,4.95,0,1.9,1
12/12/2016,89115,Bellen,1,24.95,0,13.16,1
11/15/2016,89030,Fun Fly,1,4.95,0,2.78,5
11/28/2016,89030,Fun Fly,2,9.9,0,8.18,3
10/27/2016,89419,Bellen,6,149.7,0.1,86.58,3
12/15/2016,89419,Carlota,12,335.4,0.1875,132,5
11/17/2016,89419,Quad,4,175.84,0.1,90.76,8
11/7/2016,89419,Fun Fly,1,4.95,0,2.72,1
12/14/2016,89115,Aspen,1,27.95,0,11.32,5
12/7/2016,89115,Fun Fly,1,4.95,0,1.48,7
12/4/2016,89115,Quad,3,131.88,0,61.8,1
12/19/2016,89115,Yanaki,2,57.5,0,30.54,7
10/31/2016,89115,Yanaki,1,28.75,0,14.22,4
11/9/2016,89115,Aspen,1,27.95,0,11.67,1
10/17/2016,89419,Bellen,1,24.95,0,11.77,6
11/6/2016,89115,Yanaki,1,28.75,0,14.94,1
12/2/2016,89030,Bellen,1,24.95,0,12.52,4
10/27/2016,89115,Yanaki,1,28.75,0,15.13,4
11/8/2016,89030,Bellen,1,24.95,0,13.26,4
12/4/2016,89115,Fun Fly,1,4.95,0,3.31,7
11/15/2016,89419,Carlota,1,27.95,0,11.21,2
12/15/2016,89115,Yanaki,4,115,0.1,62.4,1
11/17/2016,89030,Yanaki,1,28.75,0,14.34,6
10/24/2016,89030,Carlota,1,27.95,0,10.87,1
12/6/2016,89030,Fun Fly,1,4.95,0,2.28,3
10/21/2016,89419,Aspen,1,27.95,0,10.66,6
10/4/2016,89115,Yanaki,1,28.75,0,14.88,5
10/21/2016,89115,Quad,1,43.96,0,20.84,7
11/6/2016,89115,Quad,1,43.96,0,21.98,1
11/21/2016,89419,Majestic Beaut,12,395.4,0.1875,244.08,1
11/3/2016,89030,Aspen,1,27.95,0,12.08,5
11/8/2016,89030,Fun Fly,1,4.95,0,2.1,4
10/12/2016,89419,Aspen,1,27.95,0,12.75,4
10/7/2016,89419,Quad,1,43.96,0,21.62,5
12/14/2016,89030,Fun Fly,6,29.7,0.1,18.3,4
11/9/2016,89115,Yanaki,3,86.25,0,41.04,7
10/19/2016,89115,Quad,1,43.96,0,22.52,3
10/16/2016,89115,Yanaki,2,57.5,0,27.68,4
12/15/2016,89030,Fun Fly,4,19.8,0.1,15.68,7
12/15/2016,89115,Fun Fly,1,4.95,0,2.08,3
10/24/2016,89115,Aspen,1,27.95,0,11.44,8
12/3/2016,89115,Aspen,2,55.9,0,21.88,3
12/5/2016,89419,Quad,1,43.96,0,22.36,3
11/6/2016,89115,Yanaki,1,28.75,0,14.64,7
11/4/2016,89030,Yanaki,1,28.75,0,13.46,7
10/4/2016,89419,Majestic Beaut,6,197.7,0.1,116.34,7
11/21/2016,89115,Aspen,3,83.85,0,38.07,7
11/25/2016,89030,Carlota,1,27.95,0,12.33,1
12/13/2016,89030,Bellen,1,24.95,0,13.21,6
11/26/2016,89419,Bellen,2,49.9,0,25.32,4
