Date,Store Zip Code,Product,Units,Amount of Sale,Revenue Discount,COGS,Payment ID
11/24/2016,87001,Majestic Beaut,1,33.95,0,17.1,4
10/29/2016,87103,Carlota,1,28.95,0,19.24,4
12/8/2016,87001,Carlota,1,28.95,0,19.09,4
10/25/2016,87103,Bellen,1,25.95,0,20.81,4
10/11/2016,87001,Quad,6,269.76,0.125,169.68,7
10/15/2016,87941,Crested Beaut,3,116.85,0,75.66,6
10/22/2016,87506,Carlota,4,115.8,0.1,58.56,5
12/20/2016,87001,Quad,1,44.96,0,23.1,7
10/22/2016,87037,Carlota,1,28.95,0,12.07,5
12/1/2016,87315,Carlota,6,173.7,0.125,84.36,5
10/17/2016,87315,Quad,1,44.96,0,27.16,6
12/23/2016,87941,Fun Fly,1,4.95,0,9.98,7
10/18/2016,87001,Carlota,1,28.95,0,15.08,2
10/26/2016,87506,Yanaki,1,29.75,0,13.39,5
11/14/2016,87037,Crested Beaut,8,311.6,0.125,141.04,5
12/7/2016,87001,Carlota,1,28.95,0,14.74,7
12/15/2016,87001,Carlota,1,28.95,0,18.32,4
12/4/2016,87941,Majestic Beaut,1,33.95,0,17.26,7
10/6/2016,87001,Majestic Beaut,1,33.95,0,21.36,7
10/21/2016,87103,Yanaki,1,29.75,0,18.51,7
11/5/2016,87315,Crested Beaut,1,38.95,0,21.54,1
10/10/2016,87103,Bellen,1,25.95,0,21.46,7
11/30/2016,87001,Quad,6,269.76,0.125,131.22,5
11/15/2016,87315,Yanaki,1,29.75,0,22.2,3
12/9/2016,87001,Majestic Beaut,12,407.4,0.215,280.2,7
10/21/2016,87001,Quad,12,539.52,0.215,316.44,7
10/9/2016,87001,Crested Beaut,6,233.7,0.125,149.16,4
12/23/2016,87103,Crested Beaut,1,38.95,0,22.74,5
10/21/2016,87506,Majestic Beaut,6,203.7,0.125,102.24,5
12/23/2016,87103,Fun Fly,1,4.95,0,5.69,5
12/19/2016,87001,Quad,1,44.96,0,22.24,1
10/28/2016,87941,Bellen,1,25.95,0,16.79,1
11/20/2016,87001,Majestic Beaut,1,33.95,0,24.12,7
11/14/2016,87941,Quad,6,269.76,0.125,138.36,7
11/21/2016,87103,Majestic Beaut,1,33.95,0,22.31,4
10/17/2016,87941,Crested Beaut,1,38.95,0,24.18,1
10/17/2016,87001,Bellen,6,155.7,0.125,100.14,7
12/5/2016,87001,Carlota,6,173.7,0.125,79.44,3
12/6/2016,87001,Yanaki,1,29.75,0,15.31,5
11/15/2016,87506,Bellen,1,25.95,0,14.99,7
11/9/2016,87037,Carlota,2,57.9,0,32.94,7
12/23/2016,87506,Majestic Beaut,1,33.95,0,22.17,4
12/10/2016,87001,Carlota,6,173.7,0.125,70.86,6
12/23/2016,87001,Majestic Beaut,4,135.8,0.1,76.56,4
12/13/2016,87941,Fun Fly,1,4.95,0,10.82,2
12/13/2016,87001,Quad,1,44.96,0,22.27,4
12/9/2016,87001,Quad,1,44.96,0,29.7,5
11/10/2016,87001,Fun Fly,1,4.95,0,3.14,4
11/4/2016,87941,Quad,1,44.96,0,29.17,7
10/2/2016,87001,Carlota,12,347.4,0.215,187.08,1
11/26/2016,87001,Carlota,1,28.95,0,11.86,7
11/20/2016,87001,Aspen,1,28.95,0,15.77,6
10/6/2016,87001,Majestic Beaut,1,33.95,0,20.26,7
12/9/2016,87001,Carlota,1,28.95,0,16.59,8
10/20/2016,87506,Majestic Beaut,1,33.95,0,19.2,4
12/20/2016,87315,Majestic Beaut,1,33.95,0,18.58,4
10/28/2016,87103,Yanaki,1,29.75,0,22.78,7
10/18/2016,87037,Bellen,1,25.95,0,11.95,4
11/29/2016,87941,Carlota,1,28.95,0,11.09,4
10/9/2016,87001,Crested Beaut,1,38.95,0,18.85,2
