Date,Store Zip Code,Product,Units,Amount of Sale,Revenue Discount,COGS,Payment ID,,,,,,,,
12/11/2016,97204,Bellen,1,24.95,0,13.54,7,,,,,,,,
12/20/2016,97222,Yanaki,1,28.75,0,14.82,6,,,,,,,,
10/21/2016,97440,Yanaki,1,28.75,0,15.54,7,,,,,,,,
11/13/2016,97204,Quad,1,43.96,0,22.93,3,,,,,,,,
11/25/2016,97283,Yanaki,9,258.75,0.1,127.71,6,,,,,,,,
12/7/2016,97440,Quad,1,43.96,0,21.46,7,,,,,,,,
11/4/2016,97283,Bellen,1,24.95,0,13.14,5,,,,,,,,
11/5/2016,97283,Fun Fly,12,59.4,0.1875,39.24,1,,,,,,,,
10/30/2016,97204,Quad,1,43.96,0,21.4,3,,,,,,,,
11/15/2016,97204,Quad,7,307.72,0.1,160.86,6,,,,,,,,
10/29/2016,97440,Carlota,6,167.7,0.1,77.52,3,,,,,,,,
10/1/2016,97222,Quad,6,263.76,0.1,133.56,2,,,,,,,,
11/7/2016,97204,Bellen,6,149.7,0.1,82.62,5,,,,,,,,
11/17/2016,97204,Bellen,1,24.95,0,15.32,7,,,,,,,,
10/28/2016,97204,Carlota,1,27.95,0,13.69,1,,,,,,,,
10/17/2016,97204,Yanaki,1,28.75,0,14.87,8,,,,,,,,
11/1/2016,97440,Quad,1,43.96,0,22.14,3,,,,,,,,
10/1/2016,97440,Carlota,12,335.4,0.1875,149.04,7,,,,,,,,
10/6/2016,97440,Carlota,12,335.4,0.1875,167.04,3,,,,,,,,
10/26/2016,97204,Yanaki,4,115,0.1,61.72,3,,,,,,,,
10/4/2016,97283,Quad,1,43.96,0,22.79,3,,,,,,,,
11/21/2016,97229,Quad,1,43.96,0,22.58,3,,,,,,,,
11/7/2016,97222,Bellen,6,149.7,0.1,86.52,4,,,,,,,,
11/20/2016,97229,Quad,12,527.52,0.1875,256.68,4,,,,,,,,
12/20/2016,97283,Bellen,4,99.8,0.1,51.4,5,,,,,,,,
11/28/2016,97204,Bellen,1,24.95,0,14.34,1,,,,,,,,
12/6/2016,97204,Fun Fly,1,4.95,0,2.97,4,,,,,,,,
10/1/2016,97204,Fun Fly,9,44.55,0.1,26.55,4,,,,,,,,
10/7/2016,97401,Quad,2,87.92,0,43.94,4,,,,,,,,
11/1/2016,97283,Bellen,1,24.95,0,13.97,2,,,,,,,,
12/16/2016,97283,Quad,12,527.52,0.1875,273.48,4,,,,,,,,
11/6/2016,97440,Quad,1,43.96,0,22.01,4,,,,,,,,
10/4/2016,97440,Fun Fly,12,59.4,0.1875,56.88,1,,,,,,,,
10/6/2016,97401,Quad,1,43.96,0,21.97,4,,,,,,,,
11/17/2016,97204,Quad,1,43.96,0,23.62,1,,,,,,,,
12/2/2016,97401,Aspen,10,279.5,0.1,134.7,3,,,,,,,,
12/23/2016,97401,Quad,6,263.76,0.1,137.1,7,,,,,,,,
10/24/2016,97204,Carlota,12,335.4,0.1875,161.16,6,,,,,,,,
10/9/2016,97229,Fun Fly,1,4.95,0,3.41,6,,,,,,,,
10/9/2016,97440,Quad,1,43.96,0,21.53,6,,,,,,,,
12/3/2016,97440,Bellen,6,149.7,0.1,78.78,8,,,,,,,,
12/10/2016,97204,Fun Fly,1,4.95,0,2.4,7,,,,,,,,
10/1/2016,97204,Yanaki,1,28.75,0,15.25,4,,,,,,,,
11/12/2016,97204,Quad,6,263.76,0.1,135.54,4,,,,,,,,
10/30/2016,97401,Carlota,1,27.95,0,11.93,8,,,,,,,,
11/13/2016,97222,Quad,1,43.96,0,21.58,4,,,,,,,,
10/12/2016,97283,Quad,1,43.96,0,23.28,5,,,,,,,,
12/2/2016,97204,Carlota,1,27.95,0,14.06,4,,,,,,,,
10/9/2016,97222,Bellen,12,299.4,0.1875,153.72,2,,,,,,,,
11/16/2016,97204,Yanaki,1,28.75,0,16.69,3,,,,,,,,
11/12/2016,97229,Yanaki,6,172.5,0.1,96.24,4,,,,,,,,
10/30/2016,97204,Quad,6,263.76,0.1,141,8,,,,,,,,
11/29/2016,97440,Quad,12,527.52,0.1875,275.88,4,,,,,,,,
10/1/2016,97401,Carlota,1,27.95,0,11.49,1,,,,,,,,
10/19/2016,97204,Quad,1,43.96,0,22.46,4,,,,,,,,
12/3/2016,97204,Quad,2,87.92,0,46.56,8,,,,,,,,
10/2/2016,97440,Majestic Beaut,1,32.95,0,21.82,3,,,,,,,,
10/25/2016,97222,Quad,1,43.96,0,21.55,3,,,,,,,,
10/16/2016,97283,Quad,1,43.96,0,24.02,6,,,,,,,,
10/17/2016,97283,Quad,1,43.96,0,22.47,3,,,,,,,,
10/5/2016,97283,Bellen,1,24.95,0,14.29,1,,,,,,,,
11/23/2016,97283,Aspen,12,335.4,0.1875,137.88,3,,,,,,,,
11/26/2016,97440,Carlota,1,27.95,0,13.62,8,,,,,,,,
10/5/2016,97204,Carlota,6,167.7,0.1,82.56,3,,,,,,,,
12/8/2016,97204,Bellen,12,299.4,0.1875,157.92,3,,,,,,,,
11/30/2016,97222,Majestic Beaut,1,32.95,0,20.15,3,,,,,,,,
11/7/2016,97283,Bellen,1,24.95,0,14.11,4,,,,,,,,
12/21/2016,97440,Bellen,1,24.95,0,13.05,7,,,,,,,,
11/13/2016,97440,Carlota,2,55.9,0,25.28,3,,,,,,,,
11/13/2016,97401,Quad,1,43.96,0,23.84,5,,,,,,,,
12/5/2016,97440,Quad,1,43.96,0,21.87,3,,,,,,,,
11/12/2016,97204,Quad,1,43.96,0,23.85,3,,,,,,,,
11/3/2016,97229,Yanaki,12,345,0.1875,178.44,7,,,,,,,,
10/26/2016,97283,Carlota,12,335.4,0.1875,158.4,6,,,,,,,,
10/9/2016,97204,Yanaki,1,28.75,0,14.28,3,,,,,,,,
10/7/2016,97204,Yanaki,1,28.75,0,15.54,6,,,,,,,,
12/16/2016,97440,Quad,1,43.96,0,22.1,7,,,,,,,,
11/24/2016,97204,Majestic Beaut,1,32.95,0,20.37,1,,,,,,,,
11/20/2016,97440,Bellen,1,24.95,0,13.31,4,,,,,,,,
12/16/2016,97204,Carlota,12,335.4,0.1875,138.36,4,,,,,,,,
11/8/2016,97229,Quad,1,43.96,0,22.04,3,,,,,,,,
11/5/2016,97222,Yanaki,1,28.75,0,14.42,3,,,,,,,,
10/20/2016,97222,Fun Fly,1,4.95,0,3.94,3,,,,,,,,
11/8/2016,97204,Carlota,9,251.55,0.1,106.02,3,,,,,,,,
10/29/2016,97440,Carlota,1,27.95,0,11.47,1,,,,,,,,
11/19/2016,97229,Carlota,1,27.95,0,12.81,6,,,,,,,,
11/28/2016,97401,Fun Fly,1,4.95,0,4.14,5,,,,,,,,
10/1/2016,97222,Quad,1,43.96,0,22.1,2,,,,,,,,
12/2/2016,97204,Quad,10,439.6,0.1,225.9,7,,,,,,,,
10/16/2016,97204,Majestic Beaut,8,263.6,0.1,156.8,2,,,,,,,,
10/14/2016,97401,Fun Fly,1,4.95,0,4.72,1,,,,,,,,
11/16/2016,97440,Yanaki,6,172.5,0.1,91.5,6,,,,,,,,
11/22/2016,97204,Bellen,1,24.95,0,13.69,8,,,,,,,,
10/7/2016,97204,Bellen,1,24.95,0,14.75,7,,,,,,,,
11/30/2016,97401,Fun Fly,6,29.7,0.1,24.48,7,,,,,,,,
12/10/2016,97283,Carlota,1,27.95,0,13.53,6,,,,,,,,
12/6/2016,97229,Quad,1,43.96,0,23.44,6,,,,,,,,
10/12/2016,97440,Bellen,2,49.9,0,27.04,3,,,,,,,,
12/20/2016,97222,Majestic Beaut,1,32.95,0,21.21,6,,,,,,,,
10/13/2016,97401,Carlota,1,27.95,0,12.92,6,,,,,,,,
12/12/2016,97204,Quad,6,263.76,0.1,137.04,7,,,,,,,,
10/11/2016,97204,Quad,12,527.52,0.1875,287.64,6,,,,,,,,
12/17/2016,97283,Quad,1,43.96,0,22.56,3,,,,,,,,
12/18/2016,97440,Quad,1,43.96,0,22.13,6,,,,,,,,
10/1/2016,97440,Carlota,1,27.95,0,11.52,7,,,,,,,,
10/12/2016,97222,Quad,6,263.76,0.1,143.46,7,,,,,,,,
11/25/2016,97222,Yanaki,1,28.75,0,14.64,6,,,,,,,,
10/12/2016,97204,Yanaki,1,28.75,0,15.36,1,,,,,,,,
10/25/2016,97204,Aspen,2,55.9,0,26.18,8,,,,,,,,
11/7/2016,97204,Carlota,6,167.7,0.1,68.7,1,,,,,,,,
11/7/2016,97401,Carlota,6,167.7,0.1,74.1,3,,,,,,,,
11/6/2016,97222,Yanaki,1,28.75,0,14.35,2,,,,,,,,
12/16/2016,97229,Bellen,1,24.95,0,13.82,3,,,,,,,,
12/11/2016,97440,Fun Fly,1,4.95,0,4.8,6,,,,,,,,
10/12/2016,97283,Quad,1,43.96,0,21.94,6,,,,,,,,
10/2/2016,97401,Quad,13,571.48,0.1875,295.88,1,,,,,,,,
10/3/2016,97401,Carlota,12,335.4,0.1875,151.08,4,,,,,,,,
12/13/2016,97401,Bellen,1,24.95,0,12.87,2,,,,,,,,
10/18/2016,97440,Carlota,1,27.95,0,14.07,6,,,,,,,,
11/30/2016,97222,Carlota,1,27.95,0,13.91,1,,,,,,,,
12/17/2016,97204,Carlota,1,27.95,0,13.09,3,,,,,,,,
11/11/2016,97204,Carlota,1,27.95,0,13.98,3,,,,,,,,
10/16/2016,97222,Carlota,1,27.95,0,13.92,5,,,,,,,,
12/13/2016,97222,Carlota,1,27.95,0,12.55,4,,,,,,,,
11/14/2016,97229,Yanaki,6,172.5,0.1,90.12,4,,,,,,,,
12/1/2016,97204,Aspen,2,55.9,0,26.96,3,,,,,,,,
12/21/2016,97204,Carlota,1,27.95,0,13.12,5,,,,,,,,
10/30/2016,97283,Carlota,12,335.4,0.1875,145.2,6,,,,,,,,
10/30/2016,97283,Quad,3,131.88,0,67.41,6,,,,,,,,
12/7/2016,97204,Carlota,6,167.7,0.1,71.64,7,,,,,,,,
11/17/2016,97222,Quad,12,527.52,0.1875,269.76,3,,,,,,,,
12/19/2016,97204,Aspen,1,27.95,0,11.53,4,,,,,,,,
10/21/2016,97283,Quad,8,351.68,0.1,190.72,6,,,,,,,,
12/9/2016,97204,Bellen,1,24.95,0,15.16,8,,,,,,,,
12/20/2016,97440,Carlota,12,335.4,0.1875,164.76,7,,,,,,,,
12/7/2016,97229,Quad,1,43.96,0,22.73,3,,,,,,,,
12/5/2016,97440,Yanaki,3,86.25,0,42.99,7,,,,,,,,
12/9/2016,97283,Bellen,1,24.95,0,13.51,4,,,,,,,,
12/6/2016,97204,Quad,1,43.96,0,23.4,6,,,,,,,,
12/14/2016,97204,Majestic Beaut,1,32.95,0,20.03,4,,,,,,,,
12/2/2016,97222,Bellen,1,24.95,0,12.85,6,,,,,,,,
10/31/2016,97204,Quad,12,527.52,0.1875,261.12,6,,,,,,,,
10/4/2016,97440,Fun Fly,1,4.95,0,4.56,8,,,,,,,,
11/10/2016,97204,Quad,1,43.96,0,21.99,3,,,,,,,,
10/28/2016,97440,Yanaki,15,431.25,0.1875,223.5,3,,,,,,,,
12/7/2016,97204,Bellen,1,24.95,0,13.93,4,,,,,,,,
10/29/2016,97401,Quad,1,43.96,0,21.52,4,,,,,,,,
11/24/2016,97222,Bellen,1,24.95,0,12.78,6,,,,,,,,
12/2/2016,97229,Quad,12,527.52,0.1875,285.72,1,,,,,,,,
12/24/2016,97204,Quad,1,43.96,0,23.77,3,,,,,,,,
12/2/2016,97440,Carlota,1,27.95,0,13.5,1,,,,,,,,
11/12/2016,97222,Quad,9,395.64,0.1,202.77,3,,,,,,,,
12/15/2016,97204,Quad,11,483.56,0.1,248.49,4,,,,,,,,
10/3/2016,97204,Quad,1,43.96,0,22.23,2,,,,,,,,
11/10/2016,97283,Yanaki,13,373.75,0.1875,204.49,4,,,,,,,,
10/21/2016,97204,Fun Fly,1,4.95,0,4.4,5,,,,,,,,
10/18/2016,97440,Bellen,1,24.95,0,14.51,4,,,,,,,,
11/18/2016,97204,Quad,1,43.96,0,23.55,6,,,,,,,,
10/4/2016,97222,Carlota,2,55.9,0,23.88,6,,,,,,,,
10/11/2016,97440,Quad,1,43.96,0,22.56,6,,,,,,,,
12/12/2016,97440,Quad,1,43.96,0,23.73,4,,,,,,,,
12/16/2016,97204,Quad,6,263.76,0.1,134.7,7,,,,,,,,
11/30/2016,97401,Majestic Beaut,1,32.95,0,19.6,3,,,,,,,,
11/1/2016,97204,Fun Fly,1,4.95,0,3.02,4,,,,,,,,
12/3/2016,97204,Bellen,1,24.95,0,13.28,7,,,,,,,,
10/22/2016,97440,Fun Fly,1,4.95,0,2.53,4,,,,,,,,
11/1/2016,97440,Bellen,1,24.95,0,13.8,5,,,,,,,,
10/12/2016,97204,Bellen,5,124.75,0.1,76,8,,,,,,,,
10/4/2016,97204,Fun Fly,1,4.95,0,3.65,4,,,,,,,,
11/28/2016,97229,Quad,1,43.96,0,23.57,6,,,,,,,,
12/7/2016,97204,Quad,1,43.96,0,21.56,7,,,,,,,,
12/19/2016,97204,Yanaki,1,28.75,0,16.07,4,,,,,,,,
10/19/2016,97204,Carlota,12,335.4,0.1875,140.76,3,,,,,,,,
12/18/2016,97440,Fun Fly,1,4.95,0,2.69,1,,,,,,,,
12/18/2016,97222,Quad,10,439.6,0.1,217.7,4,,,,,,,,
11/7/2016,97283,Carlota,1,27.95,0,11.57,7,,,,,,,,
10/28/2016,97204,Bellen,1,24.95,0,14.66,6,,,,,,,,
11/8/2016,97204,Quad,1,43.96,0,21.91,7,,,,,,,,
12/6/2016,97204,Aspen,1,27.95,0,12.93,8,,,,,,,,
10/5/2016,97283,Fun Fly,1,4.95,0,3.88,3,,,,,,,,
11/28/2016,97204,Bellen,1,24.95,0,14.17,5,,,,,,,,
10/6/2016,97283,Carlota,1,27.95,0,12.78,7,,,,,,,,
11/24/2016,97204,Carlota,6,167.7,0.1,72.06,4,,,,,,,,
12/1/2016,97204,Carlota,1,27.95,0,12.4,4,,,,,,,,
12/7/2016,97204,Bellen,1,24.95,0,13.91,6,,,,,,,,
10/29/2016,97440,Quad,1,43.96,0,21.72,6,,,,,,,,
10/6/2016,97204,Bellen,6,149.7,0.1,84.3,4,,,,,,,,
10/13/2016,97283,Carlota,6,167.7,0.1,70.56,2,,,,,,,,
11/17/2016,97204,Carlota,1,27.95,0,12.37,2,,,,,,,,
11/7/2016,97440,Quad,1,43.96,0,23.35,2,,,,,,,,
12/7/2016,97401,Carlota,1,27.95,0,12.1,7,,,,,,,,
12/15/2016,97440,Bellen,1,24.95,0,13.19,3,,,,,,,,
11/4/2016,97440,Yanaki,1,28.75,0,14.08,6,,,,,,,,
10/23/2016,97204,Quad,1,43.96,0,23.42,2,,,,,,,,
12/7/2016,97440,Aspen,6,167.7,0.1,77.76,6,,,,,,,,
12/7/2016,97229,Bellen,1,24.95,0,14.09,4,,,,,,,,
12/20/2016,97440,Carlota,8,223.6,0.1,104.4,4,,,,,,,,
10/13/2016,97229,Yanaki,6,172.5,0.1,98.46,6,,,,,,,,
12/8/2016,97204,Fun Fly,1,4.95,0,2.42,4,,,,,,,,
11/8/2016,97204,Bellen,1,24.95,0,14.74,6,,,,,,,,
12/10/2016,97440,Aspen,6,167.7,0.1,75.84,6,,,,,,,,
11/25/2016,97204,Quad,1,43.96,0,22.17,6,,,,,,,,
10/4/2016,97222,Bellen,1,24.95,0,13.35,3,,,,,,,,
10/26/2016,97229,Bellen,2,49.9,0,25.84,3,,,,,,,,
11/7/2016,97283,Yanaki,1,28.75,0,15.54,3,,,,,,,,
10/12/2016,97440,Quad,1,43.96,0,21.72,6,,,,,,,,
11/11/2016,97222,Fun Fly,1,4.95,0,5.03,7,,,,,,,,
10/14/2016,97229,Majestic Beaut,1,32.95,0,20.1,5,,,,,,,,
10/28/2016,97222,Bellen,1,24.95,0,12.98,5,,,,,,,,
10/6/2016,97204,Yanaki,1,28.75,0,14.26,5,,,,,,,,
10/14/2016,97440,Quad,1,43.96,0,22.92,1,,,,,,,,
10/24/2016,97222,Carlota,1,27.95,0,11.97,4,,,,,,,,
10/30/2016,97440,Yanaki,1,28.75,0,15.37,6,,,,,,,,
10/4/2016,97440,Bellen,12,299.4,0.1875,159,4,,,,,,,,
10/2/2016,97440,Quad,1,43.96,0,23.66,5,,,,,,,,
10/11/2016,97440,Quad,1,43.96,0,22.58,4,,,,,,,,
11/13/2016,97283,Carlota,1,27.95,0,12.26,6,,,,,,,,
10/6/2016,97204,Carlota,8,223.6,0.1,103.28,8,,,,,,,,
12/11/2016,97222,Majestic Beaut,1,32.95,0,21.83,3,,,,,,,,
11/1/2016,97204,Quad,2,87.92,0,44.24,1,,,,,,,,
12/3/2016,97440,Yanaki,1,28.75,0,14.83,6,,,,,,,,
12/18/2016,97283,Fun Fly,1,4.95,0,3.19,4,,,,,,,,
12/6/2016,97401,Yanaki,1,28.75,0,14.27,4,,,,,,,,
10/12/2016,97204,Fun Fly,2,9.9,0,9.5,3,,,,,,,,
10/14/2016,97283,Quad,1,43.96,0,21.7,3,,,,,,,,
12/1/2016,97204,Bellen,1,24.95,0,12.87,6,,,,,,,,
11/29/2016,97283,Majestic Beaut,2,65.9,0,38.62,4,,,,,,,,
10/27/2016,97222,Yanaki,6,172.5,0.1,93.96,6,,,,,,,,
11/18/2016,97440,Yanaki,1,28.75,0,15.04,6,,,,,,,,
12/23/2016,97401,Yanaki,1,28.75,0,14.89,2,,,,,,,,
11/19/2016,97283,Carlota,12,335.4,0.1875,145.44,3,,,,,,,,
10/1/2016,97229,Carlota,2,55.9,0,25.34,8,,,,,,,,
11/30/2016,97204,Quad,6,263.76,0.1,139.44,7,,,,,,,,
10/21/2016,97229,Fun Fly,1,4.95,0,4.56,7,,,,,,,,
10/2/2016,97440,Majestic Beaut,1,32.95,0,19.88,4,,,,,,,,
11/1/2016,97204,Majestic Beaut,12,395.4,0.1875,248.04,4,,,,,,,,
10/15/2016,97222,Quad,1,43.96,0,22.75,7,,,,,,,,
11/20/2016,97283,Carlota,6,167.7,0.1,82.56,2,,,,,,,,
11/15/2016,97283,Quad,1,43.96,0,22.49,5,,,,,,,,
11/24/2016,97204,Quad,1,43.96,0,23.59,6,,,,,,,,
12/7/2016,97222,Fun Fly,12,59.4,0.1875,48.12,4,,,,,,,,
11/28/2016,97204,Yanaki,6,172.5,0.1,86.76,8,,,,,,,,
11/24/2016,97222,Fun Fly,1,4.95,0,2.7,1,,,,,,,,
11/29/2016,97229,Carlota,1,27.95,0,11.97,4,,,,,,,,
10/3/2016,97204,Yanaki,6,172.5,0.1,89.28,4,,,,,,,,
11/21/2016,97204,Majestic Beaut,6,197.7,0.1,131.4,4,,,,,,,,
10/17/2016,97440,Fun Fly,1,4.95,0,4.21,3,,,,,,,,
11/13/2016,97204,Fun Fly,1,4.95,0,4.84,1,,,,,,,,
10/9/2016,97222,Bellen,1,24.95,0,14,6,,,,,,,,
12/18/2016,97204,Quad,1,43.96,0,22.94,1,,,,,,,,
12/1/2016,97440,Quad,1,43.96,0,23.65,5,,,,,,,,
12/1/2016,97204,Bellen,6,149.7,0.1,90.3,7,,,,,,,,
10/3/2016,97401,Quad,2,87.92,0,47.1,8,,,,,,,,
11/22/2016,97204,Quad,1,43.96,0,22.46,4,,,,,,,,
12/3/2016,97440,Quad,6,263.76,0.1,138.06,4,,,,,,,,
12/24/2016,97229,Quad,1,43.96,0,23.26,3,,,,,,,,
12/20/2016,97204,Carlota,6,167.7,0.1,80.7,8,,,,,,,,
10/8/2016,97401,Quad,1,43.96,0,22.3,4,,,,,,,,
10/31/2016,97440,Majestic Beaut,1,32.95,0,20.09,4,,,,,,,,
11/17/2016,97222,Bellen,1,24.95,0,13.13,1,,,,,,,,
12/4/2016,97440,Carlota,1,27.95,0,13.47,1,,,,,,,,
10/23/2016,97283,Bellen,12,299.4,0.1875,180.6,4,,,,,,,,
10/27/2016,97440,Quad,6,263.76,0.1,142.32,6,,,,,,,,
10/11/2016,97204,Quad,1,43.96,0,23.79,1,,,,,,,,
11/24/2016,97204,Bellen,1,24.95,0,13.04,3,,,,,,,,
12/14/2016,97401,Quad,14,615.44,0.1875,310.94,3,,,,,,,,
10/30/2016,97204,Quad,1,43.96,0,22.25,8,,,,,,,,
12/3/2016,97229,Yanaki,1,28.75,0,14.84,7,,,,,,,,
10/29/2016,97204,Bellen,1,24.95,0,15.36,2,,,,,,,,
12/17/2016,97401,Bellen,2,49.9,0,26.48,4,,,,,,,,
12/1/2016,97440,Fun Fly,8,39.6,0.1,30.56,1,,,,,,,,
11/28/2016,97222,Quad,1,43.96,0,23.34,3,,,,,,,,
10/3/2016,97283,Yanaki,1,28.75,0,14.83,6,,,,,,,,
11/2/2016,97283,Bellen,2,49.9,0,28.16,3,,,,,,,,
10/21/2016,97440,Carlota,1,27.95,0,13.24,4,,,,,,,,
12/2/2016,97401,Quad,1,43.96,0,21.6,6,,,,,,,,
12/14/2016,97229,Carlota,1,27.95,0,12.99,3,,,,,,,,
10/27/2016,97440,Carlota,1,27.95,0,13.06,6,,,,,,,,
12/6/2016,97283,Yanaki,1,28.75,0,14.43,3,,,,,,,,
10/20/2016,97229,Fun Fly,1,4.95,0,4.06,7,,,,,,,,
11/5/2016,97204,Quad,6,263.76,0.1,139.26,8,,,,,,,,
10/7/2016,97204,Carlota,1,27.95,0,13.27,3,,,,,,,,
10/30/2016,97440,Bellen,12,299.4,0.1875,166.68,8,,,,,,,,
12/4/2016,97204,Fun Fly,6,29.7,0.1,20.76,4,,,,,,,,
12/12/2016,97204,Quad,6,263.76,0.1,144.36,2,,,,,,,,
10/9/2016,97440,Fun Fly,1,4.95,0,3.38,6,,,,,,,,
10/11/2016,97283,Aspen,6,167.7,0.1,79.14,5,,,,,,,,
11/1/2016,97440,Bellen,1,24.95,0,13.81,6,,,,,,,,
12/13/2016,97440,Fun Fly,1,4.95,0,2.69,7,,,,,,,,
11/29/2016,97401,Carlota,1,27.95,0,12.4,2,,,,,,,,
10/15/2016,97440,Carlota,2,55.9,0,24.22,4,,,,,,,,
11/11/2016,97440,Carlota,2,55.9,0,25.96,4,,,,,,,,
10/16/2016,97222,Yanaki,1,28.75,0,14.07,5,,,,,,,,
10/6/2016,97283,Bellen,1,24.95,0,13.16,4,,,,,,,,
12/10/2016,97222,Bellen,6,149.7,0.1,90.3,4,,,,,,,,
10/22/2016,97440,Bellen,2,49.9,0,30.58,4,,,,,,,,
12/20/2016,97440,Quad,1,43.96,0,22.87,5,,,,,,,,
11/23/2016,97401,Bellen,6,149.7,0.1,80.82,3,,,,,,,,
12/24/2016,97440,Carlota,12,335.4,0.1875,147.84,6,,,,,,,,
11/12/2016,97440,Quad,1,43.96,0,21.72,6,,,,,,,,
11/2/2016,97222,Yanaki,1,28.75,0,15.52,1,,,,,,,,
11/6/2016,97440,Quad,1,43.96,0,22.82,7,,,,,,,,
12/20/2016,97204,Quad,1,43.96,0,22.92,3,,,,,,,,
12/13/2016,97229,Quad,1,43.96,0,22.86,4,,,,,,,,
10/24/2016,97229,Quad,1,43.96,0,22.41,1,,,,,,,,
11/19/2016,97204,Fun Fly,7,34.65,0.1,33.46,7,,,,,,,,
11/8/2016,97229,Majestic Beaut,1,32.95,0,21.61,7,,,,,,,,
10/14/2016,97229,Quad,12,527.52,0.1875,288.12,1,,,,,,,,
10/31/2016,97204,Quad,1,43.96,0,23.25,4,,,,,,,,
11/29/2016,97440,Bellen,1,24.95,0,13.43,8,,,,,,,,
10/2/2016,97440,Yanaki,6,172.5,0.1,93.12,8,,,,,,,,
11/1/2016,97283,Carlota,1,27.95,0,13.53,4,,,,,,,,
10/1/2016,97204,Fun Fly,1,4.95,0,3.88,6,,,,,,,,
11/4/2016,97204,Bellen,6,149.7,0.1,82.86,7,,,,,,,,
12/4/2016,97440,Yanaki,6,172.5,0.1,91.92,6,,,,,,,,
11/15/2016,97222,Yanaki,2,57.5,0,33.1,3,,,,,,,,
